question,error,domain,country,organization_name,confidence
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in CHINA?",,DEFENSE,CHINA,Ministry of National Defense,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in ERITREA?",,DEFENSE,ERITREA,Ministry of Defence of Eritrea,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in MYANMAR?",,DEFENSE,MYANMAR,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in KAZAKHSTAN?",,DEFENSE,KAZAKHSTAN,Ministry of Defense of the Republic of Kazakhstan,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in SENEGAL?",,DEFENSE,SENEGAL,Ministry of Armed Forces,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in UKRAINE?",,DEFENSE,UKRAINE,Ministry of Defense of Ukraine,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in CHILE?",,DEFENSE,CHILE,Ministry of National Defense of Chile,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in BAHAMAS (THE)?",,DEFENSE,BAHAMAS (THE),Ministry of National Security,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in KENYA?",,DEFENSE,KENYA,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in ESTONIA?",,DEFENSE,ESTONIA,Ministry of Defence of the Republic of Estonia,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in SERBIA?",,DEFENSE,SERBIA,Ministry of Defence of the Republic of Serbia,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in NAMIBIA?",,DEFENSE,NAMIBIA,Ministry of Defence and Veteran Affairs,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in AZERBAIJAN?",,DEFENSE,AZERBAIJAN,Ministry of Defence of Azerbaijan,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in UNITED ARAB EMIRATES?",,DEFENSE,UNITED ARAB EMIRATES,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in ESWATINI?",,DEFENSE,ESWATINI,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in KIRIBATI?",,DEFENSE,KIRIBATI,NONE,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in SEYCHELLES?",,DEFENSE,SEYCHELLES,Ministry of Homeland Security and Civil Affairs,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in NAURU?",,DEFENSE,NAURU,NONE,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in AUSTRALIA?",,DEFENSE,AUSTRALIA,Department of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in UNITED KINGDOM?",,DEFENSE,UNITED KINGDOM,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in ETHIOPIA?",,DEFENSE,ETHIOPIA,Ministry of Defense (የመከላከያ ሚኒስቴር),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in CENTRAL AFRICAN REPUBLIC?",,DEFENSE,CENTRAL AFRICAN REPUBLIC,Ministry of National Defense and Reconstruction of the Army,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in KUWAIT?",,DEFENSE,KUWAIT,Ministry of Defense (Kuwait),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in NEPAL?",,DEFENSE,NEPAL,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in SIERRA LEONE?",,DEFENSE,SIERRA LEONE,Ministry of Defence and National Security,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in UNITED STATES?",,DEFENSE,UNITED STATES,United States Department of Defense,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in CAMBODIA?",,DEFENSE,CAMBODIA,Ministry of National Defense (Cambodia),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in AUSTRIA?",,DEFENSE,AUSTRIA,Federal Ministry of Defence (Bundesministerium für Landesverteidigung),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in KYRGYZSTAN?",,DEFENSE,KYRGYZSTAN,Ministry of Defense of the Kyrgyz Republic,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in FIJI?",,DEFENSE,FIJI,Ministry of Defence and National Security,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in NETHERLANDS?",,DEFENSE,NETHERLANDS,Ministry of Defence (Ministerie van Defensie),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in SINGAPORE?",,DEFENSE,SINGAPORE,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in ARMENIA?",,DEFENSE,ARMENIA,Ministry of Defense of the Republic of Armenia,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in URUGUAY?",,DEFENSE,URUGUAY,Ministry of National Defense (Ministerio de Defensa Nacional),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in CANADA?",,DEFENSE,CANADA,Department of National Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in FINLAND?",,DEFENSE,FINLAND,Ministry of Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in LAOS?",,DEFENSE,LAOS,Ministry of National Defence,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for DEFENSE in NEW ZEALAND?",,DEFENSE,NEW ZEALAND,Ministry of Defence,ConfidenceLevel.HIGH
