question,error,domain,country,organization_name,confidence,pretty_citations
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in ALBANIA?",,JUSTICE,ALBANIA,Ministry of Justice / Ministria e Drejtësisë,ConfidenceLevel.HIGH,"[1] ️Ministry of Justice / Ministria e Drejtësisë (Albania) (https://www.developmentaid.org/organizations/view/185116/ministry-of-justice-ministria-e-drejtesise-albania) - Updated: 2025-09-14 
    Ministry of Justice / Ministria e Drejtësisë (Albania) — Government Body from Albania, it`s involved in Law, Public Administration sectors.

[2] Prime Minister Rama Presents the New Minister of Justice, Besfort ... (https://www.kryeministria.al/en/newsroom/kryeministri-rama-prezanton-ministrin-e-ri-te-drejtesise-besfort-lamallari/) - Published: 2025-09-20 
    Prime Minister Edi Rama today presented Mr. Besfort Lamallari as the new Minister of Justice. In a meeting with the administration of the ...

[3] Albania: Ministry of Justice and UNODC Celebrate UNCAC at 20 ... (https://www.unodc.org/rosee/en/allstories/2023/all-stories-december-albania_-ministry-of-justice-and-unodc-celebrate-uncac-at-20-with-launch-of-2-new-tools-on-asset-recovery.html) - Published: 2023-12-05 
    The Ministry of Justice of Albania and the United Nations Office on Drugs and Crime (UNODC) have launched two new practical guides to support pract...

[4] Department of Justice - U.S. Embassy in Albania (https://al.usembassy.gov/department-of-justice/) - Published: 2023-01-31 
    The Department of Justice sponsors two programs aimed at improving Albania's criminal justice and law enforcement sectors.

[5] Ministry of Justice (Administrative office) - Mapy.com (https://mapy.com/en/zakladni?id=1066784928&x=19.8167724&y=41.3325574&z=19) 
    The Ministry of Justice of Albania is responsible for the country's legal system, including civil, criminal, and administrative law, as well as hum...

[6] Albania - Central Authority - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=728) - Published: 2024-05-27 
    Ministry of Justice Department of Jurisdictional Foreign Relations Blv Zogu i I Tirana Albania Tel.: +355 42259390. Fax: +355 42234560

[7] Ministrat - Albanian Government Council of Ministers - Kryeministria (https://www.kryeministria.al/en/qeveria/) - Published: 2021-09-18 
    Minister of Defence. Minister of Defence. Besfort Lamallari. Minister of Justice. Minister of Justice. Mirela Kumbaro Furxhi. Minister of Education...

[8] Ministria e Drejtësisë (https://www.drejtesia.gov.al) 
    Prezantohet zëvendësministrja e re e Drejtësisë, znj.Elona Hoxha · Ministri i Drejtësisë pret në takim ambasadorin e OSCE ... · Ministri Lamallari ...

[9] Ministry of Justice (Albania) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Albania)) - Published: 2010-12-03 
    a department of the Albanian Government, responsible for the implementation of government justice policy, the Albanian legal system in the Constitu...

[10] Central Authority - Albania - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=709) - Published: 2023-11-21 
    Address: Ministry of Justice Department of Foreign Jurisdictional Relations Blv Zogu i I TIRANA Albania ; Telephone: +355 42 230 247 ; Fax: +355 ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in AFGHANISTAN?",,JUSTICE,AFGHANISTAN,Ministry of Justice of the Islamic Emirate of Afghanistan,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Afghanistan) - Devex (https://www.devex.com/organizations/ministry-of-justice-afghanistan-122989) - Updated: 2025-09-08 
    The ministry of justice of Islamic republic of Afghanistan is from amongst central state institutions which have the following main duties: Prepari...

[2] Introduction to the Ministry of Justice (https://moj.gov.af/en/introduction-ministry-justice) - Published: 2004-02-01 
    The Ministry of Justice of the Islamic Emirate of Afghanistan is a crucial ministry comprises the Minister, the Deputy Minister for Professional Af...

[3] Ministry of Justice (Afghanistan) - Wikiwand (https://www.wikiwand.com/en/articles/Ministry_of_Justice_(Afghanistan)) - Published: 2014-03-20 
    The Ministry of Justice of Afghanistan assumes responsibilities such as drafting and reviewing laws and decrees of the president, raising public aw...

[4] Strengthening Afghanistan's Legal Aid System (https://sdgs.un.org/partnerships/strengthening-afghanistans-legal-aid-system) - Published: 2019-10-01 
    The MOJ is the government agency responsible for the administration of justice in Afghanistan. The MOJ's vision is implementation of the Rule of La...

[5] Ministry of Justice of the Islamic Republic of Afghanistan (https://resources.ials.sas.ac.uk/eagle-i/ministry-justice-islamic-republic-afghanistan) - Updated: 2025-07-11 
    Official website of the Afghanistan Ministry of Justice (MOJ). There is background information about the MOJ, its role and history, and biographica...

[6] Ministry of Justice (Afghanistan) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Afghanistan)) - Published: 2009-06-29 
    The Ministry of Justice of Afghanistan assumes responsibilities such as drafting and reviewing laws and decrees of the president, raising public aw...

[7] Taliban Justice Minister Accused Of Operating Secret Detention ... (https://www.afintl.com/en/202507221419) - Published: 2025-07-22 
    Afghanistan International contacted Abdul Hamid Jihadyar, the Taliban's Ministry of Justice spokesperson, for comment, but he declined to ...

[8] Ministry of justice - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_justice) - Published: 2004-08-01 
    A ministry or other government agency in charge of the administration of justice. The ministry or department is often headed by a minister of justice.

[9] Taliban Ministry of Justice Announces Launch of Measures to Curb ... (https://8am.media/eng/taliban-ministry-of-justice-announces-launch-of-measures-to-curb-rising-house-rents/) - Published: 2025-09-10 
    The Taliban's Ministry of Justice has claimed that practical measures have begun to review the rising cost of house rentals through ...

[10] Ministry of Justice (https://moj.gov.af/en) - Published: 2022-09-05 
    Vision of the Ministry of Justice: To strengthen and complete the legal system based on Islamic Sharia and to ensure access to justice throughout A..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in TANZANIA?",,JUSTICE,TANZANIA,Ministry of Justice and Constitutional Affairs,ConfidenceLevel.HIGH,"[1] Tanzanian Minister of Justice visits the Mechanism (https://www.irmct.org/en/news/tanzanian-minister-justice-visits-mechanism) - Updated: 2023-10-26 
    During this high-level meeting, Minister Ndumbaro was briefed on the progress of the Mechanism and its ongoing judicial work. Registrar Tambadou ex...

[2] Tanzania's Ministry of Constitutional and Legal Affairs and the East ... (https://www.eac.int/press-releases/3082-tanzania-s-ministry-of-constitutional-and-legal-affairs-and-the-east-african-court-of-justice-commit-to-identifying-areas-of-collaboration) - Published: 2024-05-03 
    Tanzania's Ministry of Constitutional and Legal Affairs and the East African Court of Justice commit to identifying areas of collaboration.

[3] Ministry of Justice and Constitutional Affairs (https://www.commonwealthofnations.org/organisations/ministry_of_justice_and_constitutional_affairs/) - Updated: 2023-10-26 
    Ministry of Justice and Constitutional Affairs ; Address, PO Box 9050, Kivukoni Front ; City, Dar es Salaam ; Phone, +255 22 211 1895 ; Fax, +255 2...

[4] Minister of Constitution and Legal Affairs, Hon. Dr. Damas ... - LHRC | (https://humanrights.or.tz/en/news-events/ndumbaro_visit) - Updated: 2025-02-15 
    On the 7th of August 2023, a significant event unfolded as the Minister of Constitution and Legal Affairs, Hon. Dr. Damas Ndumbaro, extended his es...

[5] Government Websites | Embassy of Tanzania in Washington D.C, USA (https://www.us.tzembassy.go.tz/tanzania/government-websites) - Published: 2017-01-01 
    Ministry of Communication, Science and Technology · Ministry of Justice and Constitution Affairs · Ministry of Lands, Housing and Human Settlements...

[6] MoCLA | Wizara ya Katiba na Sheria - Mwanzo (https://www.sheria.go.tz) - Published: 2025-10-18 
    S.L.P. 315, 40484 DODOMA. Simu: +255 26 2310021. Piga Bure: +255 26 2310021. Nukushi: 255 26 2321679. Barua pepe: ...

[7] Ministry Of Justice And Constitutional Affairs - Whizztanzania (https://www.whizztanzania.com/ministry-justice-and-constitutional-affairs-0) - Updated: 2025-01-28 
    Ministry Of Justice And Constitutional Affairs. Ministry Of Justice And Constitutional Affairs. 24 Kivukoni Road, P. O. Box 9004, Dar es Salaam. +2...

[8] Judiciary Of Tanzania | Home (https://www.judiciary.go.tz) - Published: 2025-09-14 
    To carry out the administration of Justice to the public in dealing with disposal of cases effectively and efficiently. Function. Interpreting dive...

[9] Ministry of Justice and Constitutional Affairs — Project Browser (https://w05.international.gc.ca/projectbrowser-banqueprojets/vendor-vendeur/index/29792?iatiid=CA-3-A033729001&wbdisable=true&Lang=eng) 
    Basic information ; Location, Dar es Salaam , Dar es Salaam ; Classification, Government ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in LEBANON?",,JUSTICE,LEBANON,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Lebanon) - Devex (https://www.devex.com/organizations/ministry-of-justice-lebanon-130205) - Updated: 2025-10-05 
    The Ministry of Justice is responsible for judicial matters, law enforcement, preparing bills, representing the government in court, and detainee a...

[2] Lebanon | Judiciaries Worldwide - Federal Judicial Center | (http://judiciariesworldwide.fjc.gov/country-profile/lebanon) - Published: 2025-03-01 
    It is tasked with monitoring the judiciary (judges and court staff) and investigating allegations of misconduct and corruption.

[3] Lebanese Ministry of Justice | IALS Digital resources (https://resources.ials.sas.ac.uk/eagle-i/lebanese-ministry-justice) - Updated: 2025-09-13 
    The website explains Lebanon's legal system, the Ministry's organization, the Courts, the legal process, rules for law officers, and modernizing pr...

[4] Lebanon's judicial independence and the end of impunity (https://www.mei.edu/publications/lebanons-judicial-independence-and-end-impunity) - Published: 2025-10-21 
    This article examines the challenges facing Lebanon's judiciary, from political interference to legal, financial, and institutional fragilities.

[5] Ministry of Justice, Lebanon - LebWeb.com (http://www.lebweb.com/site/lebanon-justice-gov-lb-20833) - Published: 2025-08-06 
    Official web site of the Ministry of Justice, Lebanon. This website is categorized in the Lebanon Guide under the following sections:.

[6] State Minister of Justice Visited Lebanon (Updated) (https://www.moj.go.jp/EN/hisho/kouhou/m_hisho06_00026.html) - Published: 2020-03-03 
    State Minister of Justice Yoshiie visited Lebanon from February 29 to March 3, 2020. The State Minister met with His Excellency Michel Aoun, Presid...

[7] INL Justice Archive - Lebanon - YouTube (https://www.youtube.com/watch?v=TZnOkgm2nJc) - Published: 2024-03-04 
    ... Justice Minister Henry Khoury and Higher Judicial Council President Suheil Abboud. The project, which scans and archives closed civil and ...

[8] Ministry of Justice (Lebanon) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Lebanon)) - Published: 2025-03-01 
    Established in 1920, the Ministry of Justice of Lebanon (Arabic: وزارة العدل) is one of the ministries of the Lebanese government. The first incarn..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SAINT VINCENT AND THE GRENADINES?",,JUSTICE,SAINT VINCENT AND THE GRENADINES,Ministry of Legal Affairs,ConfidenceLevel.HIGH,"[1] Judicial System in St Vincent and the Grenadines (https://www.commonwealthgovernance.org/countries/americas/st_vincent_and_the_grenadines/judicial-system/) - Published: 2014-03-11 
    It comprises the High Court of Justice and the Court of Appeal. The chief justice and the four justices of appeal are based at the court's headquar...

[2] Ministry of Legal Affairs (Saint Vincent and the Grenadines) (https://en.wikipedia.org/wiki/Ministry_of_Legal_Affairs_(Saint_Vincent_and_the_Grenadines)) - Published: 2018-07-13 
    The Ministry of Legal Affairs of Saint Vincent and the Grenadines oversees the legal system in the government of Saint Vincent and the Grenadines.

[3] Ministry of Legal Affairs (https://legal.gov.vc) - Published: 2025-01-01 
    To provide a legal mechanism that will ensure the smooth and efficient running of the Legal system in Saint Vincent and the Grenadines. ... Chamber...

[4] St. Vincent & the Grenadines - Commonwealth Caribbean Law ... (https://guides.law.fsu.edu/caribbean/stvincentgrenadines) - Published: 2014-06-26 
    St. Vincent & the Grenadines is a constitutional monarchy with a Prime Minister, a 21-member House of Assembly, and a judiciary with district courts.

[5] Saint Vincent and the Grenadines - HCCH | Authority (https://www.hcch.net/en/states/authorities/details3/?aid=379) - Published: 2024-04-09 
    Saint Vincent and the Grenadines - Competent Authority (Art. 6) ; Telephone: +784 456 1762 ; Fax: +784 457 2848 ; E-mail: Att.gen.Chambers@ ...

[6] Judiciary: Home (https://judiciary.gov.vc) - Published: 2025-01-01 
    Former Senior Magistrate Rickie Burnett has been appointed High Court Judge to the Eastern Caribbean Supreme Court (ECSC) effective Monday, 3rd Apr...

[7] St. Vincent and the Grenadines - Caribbean Court of Justice (https://ccj.org/member-states/st-vincent-and-the-grenadines/) - Published: 2025-07-23 
    134 Henry Street PO Box 1768 Port of Spain Republic of Trinidad and Tobago Tel: 1-868-612-5225 Fax: 1-868-627-1193 General information: info@ccj.org

[8] Ministries - Gov.vc (https://www.gov.vc/index.php/ministries) - Published: 2024-01-01 
    Cabinet · Dr. Hon. Ralph Gonsalves · Hon. Grenville Williams · Hon. Montgomery Daniel · Hon. Saboto Caesar · Hon. Frederick Stephenson · Hon. St.Cl...

[9] Saint Vincent and the Grenadines - United States Department of State (https://www.state.gov/reports/2019-country-reports-on-human-rights-practices/saint-vincent-and-the-grenadines) 
    The government operated a juvenile justice reform program to reduce recidivism. ... The ministry maintained a crisis center for survivors of domest..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in CYPRUS?",,JUSTICE,CYPRUS,Ministry of Justice and Public Order,ConfidenceLevel.HIGH,"[1] Ministry of Justice and Public Order (https://en.wikipedia.org/wiki/Ministry_of_Justice_and_Public_Order_(Cyprus)) - Published: 2025-03-17 
    The Ministry of Justice and Public Order of the Republic of Cyprus is one of the 11 ministries of the Republic of Cyprus, and is responsible for th...

[2] Serving documents (recast) | European e-Justice Portal - Europa.eu (https://e-justice.europa.eu/topics/taking-legal-action/european-judicial-atlas-civil-matters/serving-documents-recast/cy_en) - Published: 2024-12-12 
    In Cyprus, the Ministry of Justice and Public Order is the transmitting and receiving agency. Direct service is by private bailiffs. The cost ...

[3] ️Ministry of Justice and Public Order (Cyprus) - Development Aid (https://www.developmentaid.org/organizations/view/160623/ministry-of-justice-and-public-order-cyprus) - Updated: 2025-09-03 
    The Ministry of Justice and Public Order is a central government body in Cyprus. Contact them at 22805951, 22805953, or 22805950. Call centers are ...

[4] Cyprus - Central Authority (Art. 4) - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=1016) - Published: 2023-03-24 
    The Cyprus Central Authority is at 125 Athalassas Avenue, 1461 NICOSIA. Phone: +357 (22) 805 943/932, email: registry@mjpo.gov.cy, website: ...

[5] Cyprus - Central Authority (Art. 29) - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=910) - Published: 1996-10-19 
    Ministry of Justice and Public Order International Legal Co-operation Unit 125 Athalassas Avenue 1461 NICOSIA Cyprus tel.: +357 (22) 805 955

[6] Guidance by the Ministry of Justice on Apostille and Cyprus public ... (https://www.lawyersincyprus.com/guidance-by-the-ministry-of-justice-on-apostille-and-cyprus-public-documents/) - Published: 2025-04-27 
    Apostilles in Cyprus are for public documents, including court, administrative, and notarised documents. Originals are certified immediately, copie...

[7] Ministry of Justice and Public Order - Govdirectory (https://www.govdirectory.org/cyprus/Q6867322/) - Published: 2025-09-27 
    Ministry of Justice and Public Order · Official website: www.gov.cy/mjpo/ · Phone: +357 22805951 · Led by: Marios Hartsiotis · Main regulatory text..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in BENIN?",,JUSTICE,BENIN,Ministry of Justice and Legislation,ConfidenceLevel.HIGH,"[1] Ministry of Justice - Benin City - Edo State Government (https://moj.edostate.gov.ng) - Published: 2025-04-03 
    The Ministry of Justice is the legal arm of the Edo State Government charged with the responsibility of counselling the State in all legal matters.

[2] Contact Us - Ministry of Justice - Edo State Government (https://moj.edostate.gov.ng/contact-us/) - Updated: 2025-08-28 
    Visit us. Ministry of Justice Block 'C' Secretariat Building Sapele Road, Benin City. Edo State ; Email Us. ministryofjustice@edostate.gov.ng ; Cal...

[3] Ministère de la Justice et de la Législation (https://justice.gouv.bj) - Updated: 2025-08-29 
    Informations et actualités relatives aux services et procédures judiciaires du Bénin ... Le Cabinet du Ministre · Inspection générale des Services ...

[4] Prestations de services - Actes juridictionnels - Procédures non ... (https://justice.gouv.bj/services/actes-juridictionnels-procedures-contentieuses/) - Updated: 2025-05-14 
    Agence Pénitentaire du Bénin · Secrétariat général du Gouvernement · Police Républicaine · Cour Suprême · Gouvernement du Bénin. Contacts. justice@...

[5] Ministry of Justice and Legislation (Benin) / Ministère De La Justice ... (https://www.developmentaid.org/organizations/view/158010/ministere-de-la-justice-et-de-la-legislation-benin) - Updated: 2025-09-30 
    Ministry of Justice of Benin provide public safety and legal services that ""promote the rule of law, ensure the safety and security of the public a...

[6] Ministry of Justice (Benin) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Benin)) - Published: 2018-07-06 
    The Ministry of Justice of Benin provides public safety and legal services that promote the rule of law, ensure the safety and security of the public.

[7] Ministry of Justice (Benin) - Wikiwand (https://www.wikiwand.com/en/articles/Ministry_of_Justice_(Benin)) - Published: 2021-01-01 
    The Ministry of Justice of Benin provides public safety and legal services that ""promote the rule of law, ensure the safety and security of the pub..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in GUATEMALA?",,JUSTICE,GUATEMALA,Ministerio Público (Public Ministry),ConfidenceLevel.HIGH,"[1] Ministerio Publico (Public Ministry - Guatemala) - Devex (https://www.devex.com/organizations/ministerio-publico-public-ministry-guatemala-163638) - Published: 1997-01-01 
    The Public Ministry, as a result of the constitutional reform of 1992, became an autonomous body in charge of prosecuting and prosecuting public cr...

[2] Attorney General of Guatemala - Wikipedia (https://en.wikipedia.org/wiki/Attorney_General_of_Guatemala) - Published: 2012-08-05 
    The attorney general of Guatemala is the chief public prosecutor and head of the Ministerio Público (Department of Justice) of Guatemala.

[3] Guatemala - Center for the Administration of Justice - FIU (https://caj.fiu.edu/national-cj-systems/central-america/guatemala/) - Published: 2007-09-04 
    Description of the Judicial System of Guatemala: The Judicial Branch is entrusted with the duty and the authority to render justice independently.

[4] It's hunting season against justice officials in Guatemala (https://www.amnesty.org/en/latest/news/2023/11/hunting-season-against-justice-officials-guatemala/) - Published: 2023-11-22 
    It is estimated that at least 43 prosecutors, judges, human rights defenders, and journalists have been forced to flee Guatemala since 2018, ...

[5] Guatemala must uphold the integrity of the justice system, end ... (https://www.ohchr.org/en/press-releases/2025/05/guatemala-must-uphold-integrity-justice-system-end-criminalisation-un-expert) - Published: 2025-05-23 
    The Special Rapporteur stressed that the Government of Guatemala must take all available measures to stop criminalisation. The Prosecutor ...

[6] Guatemala - Partners in Justice International (https://partnersinjustice.org/our-work/where-we-work/guatemala/) - Published: 2022-03-21 
    Guatemala is a multiethnic, multilingual nation that has been plagued by violence and exclusion directed at the poorest and most vulnerable of its ...

[7] The Rule of Law in Guatemala - World Justice Project (https://worldjusticeproject.org/our-work/research-and-data/rule-of-law/guatemala-2022) - Published: 2023-01-01 
    This report presents perceptions and experiences of authoritarianism, corruption and trust, security and criminal justice, access to justice, and m...

[8] 2023 Country Reports on Human Rights Practices: Guatemala (https://www.state.gov/reports/2023-country-reports-on-human-rights-practices/guatemala) 
    The ministry also provided some justice services. Many survivors did not seek medical care due to cultural and geographic barriers, including a lac...

[9] Guatemala | International Center for Transitional Justice (https://www.ictj.org/where-we-work/guatemala) 
    Guatemala's history is marked by great structural injustice, the marginalization of the indigenous population, and a 36-year internal armed conflic..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in NAURU?",,JUSTICE,NAURU,Department of Justice and Border Control,ConfidenceLevel.HIGH,"[1] Office of the Secretary for Justice and Border Control (https://justice.gov.nr/office-of-the-secretary-for-justice-and-border-control/) - Published: 2024-02-20 
    The Office is the secretariat for the Department of Justice and Border Control, handling instructions, decisions, and finance, and ensuring resourc...

[2] Ministry of Justice and Border Control (Nauru) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_and_Border_Control_(Nauru)) - Published: 2018-07-13 
    The Ministry of Justice and Border Control of Nauru upholds the Constitution, provides legal advice to the federal government and represents the in...

[3] Department of Justice & Border Control: HomePage (https://justice.gov.nr) - Published: 2024-02-23 
    We will without fear or favour, provide accurate and timely legal advice, litigation and law and justice information to the Government and people o...

[4] Department of Justice and Border Control - Nauru (https://www.nauru.gov.nr/government/departments/department-of-justice-and-border-control.aspx) - Published: 2012-01-01 
    The Department of Justice and Border Control aims to ensure access to justice, provide border security, protect from illegal immigration, and provi...

[5] News And Announcements - JUDICIAL DEPARTMENT – NAURU (https://naurujudiciary.gov.nr/news-and-announcements/) - Published: 2023-11-01 
    The Nauru Court of Appeal proudly marked a remarkable milestone today (24th) with the ceremonial opening of its main Court of Appeal session for 2023.

[6] Departments - The Government of the Republic of Nauru (https://www.nauru.gov.nr/government/departments.aspx) - Published: 2020-09-10 
    The Department of Justice and Border Control consist of 17 sections which aim to maintain a modern, well-intergrated and transparent work culture.

[7] Ministries - The Government of the Republic of Nauru (http://naurugov.nr/government/ministries.aspx) - Published: 2012-01-01 
    Ministries ; Hon. David W.R. Adeang, MP President of the Republic of Nauru. H.E. HON. DAVID RANIBOK WAIAU ADEANG, M.P. CHAIRMAN OF THE CABINET- PRE...

[8] Home - JUDICIAL DEPARTMENT – NAURU (https://naurujudiciary.gov.nr) - Published: 2023-07-04 
    The Nauru Judiciary provides accessible justice through a fair court system, handling family disputes, money claims, and land disputes.

[9] Contact Information: Nauru - WIPO (https://www.wipo.int/members/en/contact.jsp?country_id=133) - Published: 2016-01-01 
    Office of the Attorney General and Department of Justice. Web site address, http://www.copyright.go.ke/. Address. 5th Floor NHIF Building Ragati Ro...

[10] 2022 Country Reports on Human Rights Practices: Nauru (https://www.state.gov/reports/2022-country-reports-on-human-rights-practices/nauru) - Published: 2025-01-03 
    Government Human Rights Bodies: The Department of Justice has a Human Rights Section staffed by a human rights adviser, two human rights officers, ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in CZECH REPUBLIC?",,JUSTICE,CZECH REPUBLIC,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Czech Republic) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Czech_Republic)) - Published: 2012-12-24 
    It is a central authority of the state administration for courts of law and the Public Prosecutor's Office. It gives legal opinion on credit and gu...

[2] Ministry of Justice | Government of the Czech Republic (https://vlada.gov.cz/cz/clenove-vlady/ministerstva/*kopie-1:-ministerstvo-spravedlnosti-50690/) - Published: 2008-12-22 
    The Ministry of Justice is a central authority of the state administration for courts and public prosecutor's offices.

[3] [PDF] Ministry of Justice Czech Republic (https://www.encj.eu/images/stories/pdf/workinggroups/Timeliness/response_questionnaire_timeliness_czech.pdf) - Updated: 2025-10-02 
    Individual cases are heard by a tribunal comprised of three judges. The Constitutional Court of the Czech Republic stands outside the general court...

[4] Ministries | Government of the Czech Republic (https://vlada.gov.cz/scripts/detail.php?pgid=1514) - Published: 2024-09-17 
    The Ministry of Justice is a central authority of the state administration for courts and public prosecutor's offices. The Ministry of Justice issu...

[5] ️Ministry of Justice of Czech Republik - Development Aid (https://www.developmentaid.org/organizations/view/136002/ministry-of-justice-of-czech-republik) 
    The Ministry of Justice issues legal judges concerning credit and guarantee agreements in which the Czech Republic is one of the agreement parties.

[6] Ministries and Governmental Offices (https://mv.gov.cz/mvcren/article/ministries-and-governmental-offices-ministries-and-governmental-offices.aspx) - Published: 2025-01-01 
    Ministry of Justice http://portal.justice.cz/uvod/JusticeEN.aspx ... © 2025 The Ministry of the Interior of the Czech Republic, all rights reserved.

[7] Tschechische Republik - Zuständige Behörde (Art. 6) - HCCH | Details (https://www.hcch.net/de/states/authorities/details3/?aid=317) - Published: 2025-09-17 
    Address: Ministry of Justice Vyšehradská 16 128 10 PRAHA 2. Czech Republic ; Telephone: +420 221 997 925 ; Fax: +420 221 997 919 ; E-mail: moc@msp.

[8] Ministry of Justice of the Czech Republic - Govdirectory (https://www.govdirectory.org/czech-republic/Q1661653/) - Published: 2025-10-12 
    Ministry of Justice of the Czech Republic · Official website: msp.gov.cz · Phone: +420-221-997-111 · Led by: Eva Decroix · Main regulatory text: ...

[9] Czech Republic - Central Authority & practical information - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=249) - Published: 2025-06-04 
    Contact details: ; Address: Ministry of Justice of the Czech Republic Vyšehradská 16 128 10 Praha 2. Czech Republic ; Telephone: +420 221 997 925."
