question,error,domain,country,organization_name,confidence
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in ALGERIA?",,EDUCATION,ALGERIA,Ministry of National Education,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in BAHRAIN?",,EDUCATION,BAHRAIN,Ministry of Education,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in EL SALVADOR?",,EDUCATION,EL SALVADOR,"Ministerio de Educación, Ciencia y Tecnología (MINEDUCYT)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in CAMEROON?",,EDUCATION,CAMEROON,"Ministry of Basic Education (MINEDUB), Ministry of Secondary Education (MINESEC), and Ministry of Higher Education (MINESUP)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in MOROCCO?",,EDUCATION,MOROCCO,"Ministry of National Education, Preschool and Sports",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in JAPAN?",,EDUCATION,JAPAN,"Ministry of Education, Culture, Sports, Science and Technology (MEXT)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in SAO TOME & PRINCIPE?",,EDUCATION,SAO TOME & PRINCIPE,Ministry of Education and Higher Education,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in TUVALU?",,EDUCATION,TUVALU,"Ministry of Education, Youth and Sports",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in BAHAMAS (THE)?",,EDUCATION,BAHAMAS (THE),Ministry of Education and Technical and Vocational Training,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in CAMBODIA?",,EDUCATION,CAMBODIA,"Ministry of Education, Youth and Sport",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in JORDAN?",,EDUCATION,JORDAN,Ministry of Education,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in EQUATORIAL GUINEA?",,EDUCATION,EQUATORIAL GUINEA,"Ministry of Education, Higher Education, and Sports",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in MOZAMBIQUE?",,EDUCATION,MOZAMBIQUE,Ministry of Education and Human Development,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in SAUDI ARABIA?",,EDUCATION,SAUDI ARABIA,Ministry of Education of Saudi Arabia,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in AFGHANISTAN?",,EDUCATION,AFGHANISTAN,Ministry of Education,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in UGANDA?",,EDUCATION,UGANDA,Ministry of Education and Sports,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in CABO VERDE?",,EDUCATION,CABO VERDE,Ministry of Education of Cabo Verde,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in ERITREA?",,EDUCATION,ERITREA,Ministry of Education of Eritrea,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for EDUCATION in MYANMAR?",,EDUCATION,MYANMAR,Ministry of Education,ConfidenceLevel.HIGH
