question,error,domain,country,organization_name,confidence
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BELARUS?",,SCIENCE & TECHNOLOGY,BELARUS,State Committee on Science and Technology of the Republic of Belarus,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in DENMARK?",,SCIENCE & TECHNOLOGY,DENMARK,Ministry of Higher Education and Science,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MEXICO?",,SCIENCE & TECHNOLOGY,MEXICO,"Secretariat of Science, Humanities, Technology and Innovation (SECIHTI)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in RUSSIA?",,SCIENCE & TECHNOLOGY,RUSSIA,Ministry of Science and Higher Education of the Russian Federation,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in INDONESIA?",,SCIENCE & TECHNOLOGY,INDONESIA,"Ministry of Higher Education, Science, and Technology (Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi / Kemendiktisaintek)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TOGO?",,SCIENCE & TECHNOLOGY,TOGO,Ministry of Higher Education and Research,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BELGIUM?",,SCIENCE & TECHNOLOGY,BELGIUM,Belgian Science Policy Office (BELSPO),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in IRAN?",,SCIENCE & TECHNOLOGY,IRAN,"Ministry of Science, Research and Technology (MSRT)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in DJIBOUTI?",,SCIENCE & TECHNOLOGY,DJIBOUTI,Ministry of Digital Economy and Innovation,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in RWANDA?",,SCIENCE & TECHNOLOGY,RWANDA,National Council for Science and Technology (NCST),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MICRONESIA?",,SCIENCE & TECHNOLOGY,MICRONESIA,"Department of Research, Science and Technology, within the Ministry of Infrastructure, Science and Technology",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BELIZE?",,SCIENCE & TECHNOLOGY,BELIZE,"Ministry of Education, Culture, Science and Technology (MoECST)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TONGA?",,SCIENCE & TECHNOLOGY,TONGA,"Ministry of Meteorology, Energy, Information, Disaster Management, Environment, Climate Change and Communications (MEIDECC)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in DOMINICA?",,SCIENCE & TECHNOLOGY,DOMINICA,"Ministry of Education, Human Resource Planning, Vocational Training and National Excellence",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in IRAQ?",,SCIENCE & TECHNOLOGY,IRAQ,Ministry of Science and Technology (Iraq),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MOLDOVA?",,SCIENCE & TECHNOLOGY,MOLDOVA,Ministry of Education and Research of the Republic of Moldova,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in SAINT KITTS AND NEVIS?",,SCIENCE & TECHNOLOGY,SAINT KITTS AND NEVIS,Department of Information Technology,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TRINIDAD AND TOBAGO?",,SCIENCE & TECHNOLOGY,TRINIDAD AND TOBAGO,"Ministry of Science, Technology and Tertiary Education",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BENIN?",,SCIENCE & TECHNOLOGY,BENIN,Ministry of Higher Education and Scientific Research (Ministère de l'Enseignement Supérieur et de la Recherche Scientifique),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in DOMINICAN REPUBLIC?",,SCIENCE & TECHNOLOGY,DOMINICAN REPUBLIC,"Ministerio de Educación Superior, Ciencia y Tecnología (MESCyT)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in IRELAND?",,SCIENCE & TECHNOLOGY,IRELAND,"Department of Further and Higher Education, Research, Innovation and Science",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in SAINT LUCIA?",,SCIENCE & TECHNOLOGY,SAINT LUCIA,"Ministry of Sustainable Development, Energy, Science and Technology",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MONACO?",,SCIENCE & TECHNOLOGY,MONACO,Interministerial Delegation for Digital Transition,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TUNISIA?",,SCIENCE & TECHNOLOGY,TUNISIA,Ministry of Higher Education and Scientific Research,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BHUTAN?",,SCIENCE & TECHNOLOGY,BHUTAN,Government Technology Agency (GovTech),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in ECUADOR?",,SCIENCE & TECHNOLOGY,ECUADOR,"Ministry of Higher Education, Science, Technology and Innovation (SENESCYT)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in ISRAEL?",,SCIENCE & TECHNOLOGY,ISRAEL,"Ministry of Science, Technology and Space",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MONGOLIA?",,SCIENCE & TECHNOLOGY,MONGOLIA,"Ministry of Education, Culture and Science of Mongolia",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in SAINT VINCENT AND THE GRENADINES?",,SCIENCE & TECHNOLOGY,SAINT VINCENT AND THE GRENADINES,"Ministry of Telecommunications, Science, Technology and Industry",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TURKEY?",,SCIENCE & TECHNOLOGY,TURKEY,Ministry of Industry and Technology,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BOLIVIA?",,SCIENCE & TECHNOLOGY,BOLIVIA,"Ministry of Education, specifically its Vice Ministry of Science and Technology",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in EGYPT?",,SCIENCE & TECHNOLOGY,EGYPT,Ministry of Higher Education and Scientific Research,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in ITALY?",,SCIENCE & TECHNOLOGY,ITALY,"Ministry of University and Research (Ministero dell'Università e della Ricerca, MUR)",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in MONTENEGRO?",,SCIENCE & TECHNOLOGY,MONTENEGRO,"Ministry of Education, Science and Innovation",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in SAMOA?",,SCIENCE & TECHNOLOGY,SAMOA,Ministry of Communications and Information Technology,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in TURKMENISTAN?",,SCIENCE & TECHNOLOGY,TURKMENISTAN,Academy of Sciences of Turkmenistan,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in BOSNIA AND HERZEGOVINA?",,SCIENCE & TECHNOLOGY,BOSNIA AND HERZEGOVINA,Ministry of Civil Affairs of Bosnia and Herzegovina,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for SCIENCE & TECHNOLOGY in EL SALVADOR?",,SCIENCE & TECHNOLOGY,EL SALVADOR,"Ministry of Education, Science and Technology (Ministerio de Educación, Ciencia y Tecnología - MINEDUCYT)",ConfidenceLevel.HIGH
