question,error,domain,country,organization_name,confidence
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in ECUADOR?",,FOREIGN AFFAIRS,ECUADOR,Ministerio de Relaciones Exteriores y Movilidad Humana,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in BOLIVIA?",,FOREIGN AFFAIRS,BOLIVIA,Ministry of Foreign Affairs of Bolivia (Ministerio de Relaciones Exteriores),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in MONGOLIA?",,FOREIGN AFFAIRS,MONGOLIA,Ministry of Foreign Affairs of Mongolia,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in ITALY?",,FOREIGN AFFAIRS,ITALY,Ministry of Foreign Affairs and International Cooperation,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in SAMOA?",,FOREIGN AFFAIRS,SAMOA,Ministry of Foreign Affairs and Trade of Samoa,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in TURKEY?",,FOREIGN AFFAIRS,TURKEY,Ministry of Foreign Affairs (Dışişleri Bakanlığı),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in ANDORRA?",,FOREIGN AFFAIRS,ANDORRA,Ministry of Foreign Affairs (Ministeri d'Afers Exteriors),ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in JAMAICA?",,FOREIGN AFFAIRS,JAMAICA,Ministry of Foreign Affairs and Foreign Trade,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in EGYPT?",,FOREIGN AFFAIRS,EGYPT,Ministry of Foreign Affairs,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in MONTENEGRO?",,FOREIGN AFFAIRS,MONTENEGRO,Ministry of Foreign Affairs of Montenegro,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in TURKMENISTAN?",,FOREIGN AFFAIRS,TURKMENISTAN,Ministry of Foreign Affairs of Turkmenistan,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in SAN MARINO?",,FOREIGN AFFAIRS,SAN MARINO,"Ministry of Foreign Affairs, Political Affairs, International Economic Cooperation and Digital Transition",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in BOSNIA AND HERZEGOVINA?",,FOREIGN AFFAIRS,BOSNIA AND HERZEGOVINA,Ministry of Foreign Affairs of Bosnia and Herzegovina,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in BOTSWANA?",,FOREIGN AFFAIRS,BOTSWANA,Ministry of Foreign Affairs,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in MOROCCO?",,FOREIGN AFFAIRS,MOROCCO,"Ministry of Foreign Affairs, African Cooperation and Moroccan Expatriates",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in JAPAN?",,FOREIGN AFFAIRS,JAPAN,Ministry of Foreign Affairs of Japan,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in EL SALVADOR?",,FOREIGN AFFAIRS,EL SALVADOR,Ministry of Foreign Affairs of El Salvador,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in SAO TOME & PRINCIPE?",,FOREIGN AFFAIRS,SAO TOME & PRINCIPE,"Ministry of Foreign Affairs, Cooperation and Communities",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in TUVALU?",,FOREIGN AFFAIRS,TUVALU,"Ministry of Justice, Communications, and Foreign Affairs",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in BRAZIL?",,FOREIGN AFFAIRS,BRAZIL,Ministério das Relações Exteriores,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in EQUATORIAL GUINEA?",,FOREIGN AFFAIRS,EQUATORIAL GUINEA,"Ministry of Foreign Affairs, International Cooperation, and Francophone Affairs",ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in SAUDI ARABIA?",,FOREIGN AFFAIRS,SAUDI ARABIA,Ministry of Foreign Affairs,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in JORDAN?",,FOREIGN AFFAIRS,JORDAN,Ministry of Foreign Affairs and Expatriates,ConfidenceLevel.HIGH
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for FOREIGN AFFAIRS in UGANDA?",,FOREIGN AFFAIRS,UGANDA,Ministry of Foreign Affairs (MOFA),ConfidenceLevel.HIGH
